CodeSite,DateDebut,DateFin,TempSession,TypeAppareil,Download,Upload,Langue,GeoPoint
PW0112,2019-09-05T17:56:00+02:00,2019-09-05T19:00:00+02:00,3860,Mobile,92387425,6873950,Français,48.8614889106,2.3441541095
PW0024,2019-09-05T18:00:00+02:00,2019-09-05T18:22:00+02:00,1276,Ordinateur,35096834,6127952,Français,48.877751384,2.3174864787
PW0123,2019-09-05T18:03:00+02:00,2019-09-05T18:13:00+02:00,655,Mobile,1973816,599756,Anglais,48.8563193139,2.3517550767
PW0003,2019-09-05T18:03:00+02:00,2019-09-05T18:29:00+02:00,1586,Mobile,47152309,5426224,Français,48.889783335,2.3196433734
PW0049,2019-09-05T18:04:00+02:00,2019-09-05T19:17:00+02:00,4418,Ordinateur,131997226,162487854,Français,48.8515955528,2.383960071
PW0003,2019-09-05T18:04:00+02:00,2019-09-05T19:17:00+02:00,4371,Mobile,170223895,7695752,Français,48.889783335,2.3196433734
PW0175,2019-09-05T18:05:00+02:00,2019-09-05T18:06:00+02:00,51,Mobile,5002919,257627,Anglais,48.8609372147,2.2893499444
PW0110,2019-09-05T18:06:00+02:00,2019-09-05T18:34:00+02:00,1675,Mobile,109735581,9097540,Français,48.8614694222,2.346303724
PW0147,2019-09-05T18:06:00+02:00,2019-09-05T19:17:00+02:00,4256,Mobile,24613659,1653999,Français,48.8754298708,2.353666773
PW0190,2019-09-05T18:09:00+02:00,2019-09-05T18:10:00+02:00,49,Mobile,82915,69181,Anglais,48.8611484589,2.325065434
PW0014,2019-09-05T18:18:00+02:00,2019-09-05T18:25:00+02:00,392,Mobile,24383115,2005692,Français,48.8415157494,2.2998843876
PW0137,2019-09-05T18:18:00+02:00,2019-09-05T19:34:00+02:00,4525,Mobile,20167760,2914763,Français,48.8417075067,2.299350322
PW0143,2019-09-05T18:18:00+02:00,2019-09-05T18:59:00+02:00,2431,Mobile,113528612,5941799,Français,48.8618194855,2.3476439033
PW0112,2019-09-05T18:21:00+02:00,2019-09-05T20:16:00+02:00,6891,Mobile,265602473,14535778,Anglais,48.8614889106,2.3441541095
PW0044,2019-09-05T18:23:00+02:00,2019-09-05T18:53:00+02:00,1817,Mobile,69957722,2845579,Français,48.8637689236,2.3598462566
PW0170-1,2019-09-05T18:24:00+02:00,2019-09-05T18:28:00+02:00,230,Mobile,1468864,251649,Arabe,48.8858336546,2.3650478296
PW0123,2019-09-05T18:24:00+02:00,2019-09-05T18:33:00+02:00,537,Mobile,5390704,713975,Portugais,48.8563193139,2.3517550767
PW0121,2019-09-05T18:30:00+02:00,2019-09-05T18:35:00+02:00,318,Tablette,5496769,1009410,Allemand,48.8582613252,2.3583923572
PW0010,2019-09-05T18:31:00+02:00,2019-09-05T18:47:00+02:00,932,Mobile,2329769,29740614,Anglais,48.8717845119,2.3573826449
PW0049,2019-09-05T18:32:00+02:00,2019-09-05T19:08:00+02:00,2123,Ordinateur,169368812,4829186,Français,48.8515955528,2.383960071
PW0045,2019-09-05T18:34:00+02:00,2019-09-05T18:38:00+02:00,231,Tablette,8837891,1199778,Français,48.8598387687,2.4032269985
PW0126,2019-09-05T18:34:00+02:00,2019-09-05T18:55:00+02:00,1246,Mobile,20516610,2483552,Français,48.8424935285,2.3496737607
PW0110,2019-09-05T18:36:00+02:00,2019-09-05T18:38:00+02:00,120,Mobile,4247901,451568,Français,48.8614694222,2.346303724
PW0055,2019-09-05T18:36:00+02:00,2019-09-05T19:33:00+02:00,3449,Mobile,189210548,12601348,Français,48.8523121522,2.4105606442
PW0029,2019-09-05T18:38:00+02:00,2019-09-05T19:12:00+02:00,2056,Ordinateur,128518849,5273461,Français,48.8612659255,2.3785024757
PW0122-1,2019-09-05T18:42:00+02:00,2019-09-05T18:52:00+02:00,590,Mobile,31457033,55425252,Anglais,48.856389683,2.352388267
PW0137,2019-09-05T18:44:00+02:00,2019-09-05T18:54:00+02:00,608,Mobile,21043785,1015663,Français,48.8417075067,2.299350322
PW0123-1,2019-09-05T18:46:00+02:00,2019-09-05T19:13:00+02:00,1587,Mobile,33156040,3331340,Français,48.8570518501,2.3523517242
PW0165-1,2019-09-05T18:59:00+02:00,2019-09-05T19:16:00+02:00,972,Mobile,867699,838454,Espagnol,48.8546101225,2.3001906307
PW0045,2019-09-05T19:01:00+02:00,2019-09-05T20:01:00+02:00,3632,Ordinateur,105790994,6312758,Français,48.8598387687,2.4032269985
PW0053,2019-09-05T19:05:00+02:00,2019-09-05T19:13:00+02:00,458,Mobile,1435668,771100,Français,48.8312312482,2.3116623321
PW0151-1,2019-09-05T19:06:00+02:00,2019-09-05T19:09:00+02:00,198,Mobile,485448,127862,Français,48.87994077,2.3074990761
PW0109,2019-09-05T19:06:00+02:00,2019-09-05T20:49:00+02:00,6200,Tablette,224757626,11613531,Français,48.8811113359,2.3323455598
PW0134,2019-09-05T19:10:00+02:00,2019-09-05T19:53:00+02:00,2572,Mobile,139076857,5851371,Français,48.8665075801,2.3404344915
PW0021,2019-09-05T19:17:00+02:00,2019-09-05T19:57:00+02:00,2386,Mobile,12152641,11496644,Français,48.846191709,2.3445808787
PW0170,2019-09-05T19:23:00+02:00,2019-09-05T19:33:00+02:00,594,Mobile,16229283,757090,Anglais,48.8864505694,2.3654757972
PW0115,2019-09-05T19:24:00+02:00,2019-09-05T19:46:00+02:00,1311,Ordinateur,31361731,2123190,Coréen,48.8393069888,2.3387816735
PW0132-2,2019-09-05T19:26:00+02:00,2019-09-05T19:37:00+02:00,658,Ordinateur,35137933,1894886,Français,48.8561383736,2.3559375242
PW0054,2019-09-05T19:28:00+02:00,2019-09-05T19:30:00+02:00,104,Mobile,1599481,223851,Français,48.8337666097,2.3258559779
PW0017,2019-09-05T19:29:00+02:00,2019-09-05T20:33:00+02:00,3817,Mobile,54764951,4841396,Chinois simplifié,48.8827945783,2.3819179741
PW0045,2019-09-05T19:32:00+02:00,2019-09-05T20:32:00+02:00,3603,Ordinateur,33196021,9823524,Japonais,48.8598387687,2.4032269985
PW0055,2019-09-05T19:32:00+02:00,2019-09-05T19:46:00+02:00,803,Mobile,5138764,870774,Français,48.8523121522,2.4105606442
PW0130,2019-09-05T19:36:00+02:00,2019-09-05T20:15:00+02:00,2329,Ordinateur,14611091,7344014,Français,48.8532955464,2.4012127883
PW0045,2019-09-05T19:37:00+02:00,2019-09-05T19:41:00+02:00,298,Mobile,480856,52329,Français,48.8598387687,2.4032269985
PW0143,2019-09-05T19:38:00+02:00,2019-09-05T20:37:00+02:00,3560,Mobile,180788822,22858768,Français,48.8618194855,2.3476439033
PW0147,2019-09-05T19:44:00+02:00,2019-09-05T20:53:00+02:00,4112,Mobile,2987706,456502,Français,48.8754298708,2.353666773
PW0117,2019-09-05T19:49:00+02:00,2019-09-05T19:55:00+02:00,409,Mobile,9133763,980906,Français,48.8497413105,2.2861367437
PW0119,2019-09-05T19:49:00+02:00,2019-09-05T20:03:00+02:00,847,Mobile,3478715,839271,Anglais,48.8572732825,2.3512776121
PW0110,2019-09-05T19:54:00+02:00,2019-09-05T20:14:00+02:00,1208,Mobile,12021525,2043081,Français,48.8614694222,2.346303724
PW0045,2019-09-05T20:01:00+02:00,2019-09-05T20:14:00+02:00,803,Ordinateur,24048288,1671507,Français,48.8598387687,2.4032269985
PW0020,2019-09-05T20:03:00+02:00,2019-09-05T20:57:00+02:00,3232,Ordinateur,25243952,11546582,Français,48.862650133,2.345916105
PW0165-1,2019-09-05T20:17:00+02:00,2019-09-05T20:21:00+02:00,290,Mobile,4984554,1006975,Espagnol,48.8546101225,2.3001906307
PW0009,2019-09-05T20:21:00+02:00,2019-09-05T20:38:00+02:00,1013,Ordinateur,54503394,1549540,Français,48.8901061541,2.3632099736
PW0123,2019-09-05T20:23:00+02:00,2019-09-05T20:29:00+02:00,367,Mobile,11949808,5791046,Anglais,48.8563193139,2.3517550767
PW0153,2019-09-05T20:23:00+02:00,2019-09-05T20:35:00+02:00,696,Mobile,21973685,1651990,Français,48.8580407243,2.3492201015
PW0177,2019-09-05T20:23:00+02:00,2019-09-05T21:07:00+02:00,2608,Mobile,8219783,1141752,Français,48.8570974891,2.3704796611
PW0177,2019-09-05T20:40:00+02:00,2019-09-05T21:05:00+02:00,1457,Mobile,17180790,1002010,Français,48.8570974891,2.3704796611
PW0151,2019-09-05T20:46:00+02:00,2019-09-05T21:33:00+02:00,2808,Mobile,156078499,5456038,Espagnol,48.8802623407,2.309839897
PW0035,2019-09-05T20:47:00+02:00,2019-09-05T21:43:00+02:00,3385,Mobile,107223032,12161069,Français,48.8329972796,2.3268543569
PW0151,2019-09-05T20:48:00+02:00,2019-09-05T21:46:00+02:00,3504,Mobile,80976072,6678266,Français,48.8802623407,2.309839897
PW0123,2019-09-05T21:07:00+02:00,2019-09-05T21:13:00+02:00,350,Mobile,3880915,915998,Anglais,48.8563193139,2.3517550767
PW0069,2019-09-05T21:14:00+02:00,2019-09-05T22:09:00+02:00,3293,Mobile,165318119,9153924,Espagnol,48.8322068,2.3474197664
PW0027,2019-09-05T21:34:00+02:00,2019-09-05T21:38:00+02:00,251,Tablette,14878093,1216825,Allemand,48.8595702097,2.3072264833
PW0165,2019-09-05T21:49:00+02:00,2019-09-05T21:50:00+02:00,50,Mobile,1341317,88404,Français,48.8569794103,2.2933390635
PW0155,2019-09-05T21:58:00+02:00,2019-09-05T22:14:00+02:00,947,Mobile,32952569,8944171,Polonais,48.8383992161,2.3537775367
PW0110,2019-09-05T22:01:00+02:00,2019-09-05T22:58:00+02:00,3428,Ordinateur,165137984,7635384,Français,48.8614694222,2.346303724
PW0149,2019-09-05T22:09:00+02:00,2019-09-05T22:13:00+02:00,233,Mobile,676027,7552287,Anglais,48.8593733254,2.3358223561
PW0009,2019-09-05T22:15:00+02:00,2019-09-05T22:25:00+02:00,602,Mobile,1071895,130029,Anglais,48.8901061541,2.3632099736
PW0150,2019-09-05T22:16:00+02:00,2019-09-05T22:34:00+02:00,1078,Mobile,4915784,1168797,Espagnol,48.8523533398,2.3603109745
PW0123,2019-09-05T22:19:00+02:00,2019-09-05T22:40:00+02:00,1260,Mobile,9266586,32351411,Arabe,48.8563193139,2.3517550767
PW0190,2019-09-05T23:12:00+02:00,2019-09-05T23:12:00+02:00,15,Mobile,497616,31948,Anglais,48.8611484589,2.325065434
PW0019-1,2019-09-05T23:14:00+02:00,2019-09-05T23:50:00+02:00,2149,Ordinateur,16481902,1666849,Français,48.8640250421,2.3621865449
PW0175,2019-09-06T00:02:00+02:00,2019-09-06T00:23:00+02:00,1305,Mobile,62393145,4482734,Français,48.8609372147,2.2893499444
PW0193,2019-09-06T00:20:00+02:00,2019-09-06T00:21:00+02:00,58,Mobile,1449745,427982,Français,48.8574278537,2.3470199245
PW0014,2019-09-06T00:31:00+02:00,2019-09-06T00:35:00+02:00,243,Mobile,2504930,281838,Français,48.8415157494,2.2998843876
PW0141,2019-09-06T01:28:00+02:00,2019-09-06T01:39:00+02:00,645,Mobile,2619400,453504,Français,48.8455291572,2.3871109861
PW0144,2019-09-06T09:57:00+02:00,2019-09-06T09:59:00+02:00,93,Mobile,592423,205153,Anglais,48.8492339972,2.4120981583
PW0068,2019-09-06T10:13:00+02:00,2019-09-06T10:21:00+02:00,493,Mobile,2762736,144505,Français,48.8591243675,2.3841876331
PW0083,2019-09-06T10:22:00+02:00,2019-09-06T12:11:00+02:00,6564,Mobile,63402664,4553662,Anglais,48.893005177,2.397787507
PW0170-1,2019-09-06T10:43:00+02:00,2019-09-06T11:01:00+02:00,1091,Mobile,7583883,1231998,Français,48.8858336546,2.3650478296
PW0170,2019-09-06T10:55:00+02:00,2019-09-06T10:57:00+02:00,97,Mobile,1470711,387893,Anglais,48.8864505694,2.3654757972
PW0120,2019-09-06T10:59:00+02:00,2019-09-06T11:56:00+02:00,3452,Mobile,64797254,2532372,Français,48.8524066125,2.3716454351
PW0114,2019-09-06T11:01:00+02:00,2019-09-06T11:03:00+02:00,121,Mobile,6907393,1166433,Français,48.830786809,2.3567544767
PW0165,2019-09-06T11:10:00+02:00,2019-09-06T11:15:00+02:00,300,Mobile,1160431,153559,Anglais,48.8569794103,2.2933390635
PW0163,2019-09-06T11:11:00+02:00,2019-09-06T11:24:00+02:00,821,Tablette,39535529,27161572,Français,48.8556307839,2.3656584031
PW0136,2019-09-06T11:11:00+02:00,2019-09-06T13:11:00+02:00,7226,Mobile,49955004,7263609,Russe,48.8780382168,2.4058081249
PW0071,2019-09-06T11:25:00+02:00,2019-09-06T13:25:00+02:00,7241,Mobile,22638349,3172447,Français,48.8714830648,2.3786770353
PW0164,2019-09-06T11:35:00+02:00,2019-09-06T12:06:00+02:00,1816,Mobile,11621135,3550237,Français,48.8744988283,2.3619049385
PW0021,2019-09-06T11:42:00+02:00,2019-09-06T11:47:00+02:00,269,Mobile,8576729,5552952,Anglais,48.846191709,2.3445808787
PW0163,2019-09-06T12:09:00+02:00,2019-09-06T12:20:00+02:00,616,Mobile,8639597,24225198,Anglais,48.8556307839,2.3656584031
PW0014,2019-09-06T12:19:00+02:00,2019-09-06T14:19:00+02:00,7216,Mobile,89252346,2691473,Français,48.8415157494,2.2998843876
PW0037,2019-09-06T12:19:00+02:00,2019-09-06T14:20:00+02:00,7241,Mobile,175051760,10114969,Français,48.8809781342,2.3359366112
PW0122-1,2019-09-06T12:58:00+02:00,2019-09-06T12:58:00+02:00,3,Ordinateur,0,0,Anglais,48.856389683,2.352388267
PW0170,2019-09-06T13:04:00+02:00,2019-09-06T13:14:00+02:00,575,Mobile,24836321,2119388,Français,48.8864505694,2.3654757972
PW0163,2019-09-06T13:16:00+02:00,2019-09-06T13:24:00+02:00,474,Mobile,9950919,764398,Espagnol,48.8556307839,2.3656584031
PW0159-1,2019-09-06T13:45:00+02:00,2019-09-06T13:50:00+02:00,298,Mobile,10139486,5118752,Espagnol,48.8764730512,2.3810174201
PW0009,2019-09-06T13:55:00+02:00,2019-09-06T14:33:00+02:00,2288,Mobile,922704,143313,Français,48.8901061541,2.3632099736
PW0202,2019-09-06T14:00:00+02:00,2019-09-06T14:03:00+02:00,164,Mobile,762448,848907,Français,48.8553935976,2.2807177166
PW0122-5,2019-09-06T14:04:00+02:00,2019-09-06T16:05:00+02:00,7244,Ordinateur,65460132,13671663,Français,48.8568665354,2.3531718233
PW0170-1,2019-09-06T14:27:00+02:00,2019-09-06T14:43:00+02:00,939,Mobile,25547879,1978522,Arabe,48.8858336546,2.3650478296
PW0122-5,2019-09-06T14:27:00+02:00,2019-09-06T15:00:00+02:00,1942,Ordinateur,39284610,3470953,Français,48.8568665354,2.3531718233
PW0063,2019-09-06T14:28:00+02:00,2019-09-06T14:52:00+02:00,1405,Mobile,47891223,15677852,Français,48.8321552307,2.3268845369
PW0199,2019-09-06T14:35:00+02:00,2019-09-06T14:47:00+02:00,693,Mobile,4608841,627301,Portugais,48.8342318805,2.3321285183
PW0151,2019-09-06T14:36:00+02:00,2019-09-06T15:40:00+02:00,3869,Ordinateur,169316882,22041090,Anglais,48.8802623407,2.309839897
PW0157,2019-09-06T14:51:00+02:00,2019-09-06T16:01:00+02:00,4196,Mobile,149454107,6504339,Français,48.8281858231,2.3586267374
PW0189,2019-09-06T14:55:00+02:00,2019-09-06T14:56:00+02:00,46,Mobile,767649,976591,Espagnol,48.8629641751,2.3045246819
PW0070,2019-09-06T14:55:00+02:00,2019-09-06T16:56:00+02:00,7234,Ordinateur,47897035,10763944,Anglais,48.8562219571,2.3673918201
PW0157,2019-09-06T14:57:00+02:00,2019-09-06T15:14:00+02:00,990,Mobile,35817170,3617836,Français,48.8281858231,2.3586267374
PW0051,2019-09-06T15:04:00+02:00,2019-09-06T15:15:00+02:00,623,Mobile,42297098,12830031,Français,48.8425411215,2.3974768897
PW0156,2019-09-06T15:05:00+02:00,2019-09-06T15:10:00+02:00,279,Mobile,7625271,11861465,Russe,48.8558319848,2.3508346613
PW0118,2019-09-06T15:06:00+02:00,2019-09-06T15:07:00+02:00,81,Ordinateur,9091805,445500,Anglais,48.8481097373,2.3275943361
PW0147,2019-09-06T15:06:00+02:00,2019-09-06T17:07:00+02:00,7260,Ordinateur,47502604,7061963,Anglais,48.8754298708,2.353666773
PW0193,2019-09-06T15:07:00+02:00,2019-09-06T15:28:00+02:00,1281,Mobile,29319795,5690729,Anglais,48.8574278537,2.3470199245
PW0137,2019-09-06T15:10:00+02:00,2019-09-06T17:11:00+02:00,7225,Mobile,452129104,29953599,Anglais,48.8417075067,2.299350322
PW0114,2019-09-06T15:12:00+02:00,2019-09-06T17:13:00+02:00,7228,Ordinateur,17890046,3191827,Français,48.830786809,2.3567544767
PW0163,2019-09-06T15:13:00+02:00,2019-09-06T15:44:00+02:00,1892,Mobile,65728324,118814340,Espagnol,48.8556307839,2.3656584031
PW0052,2019-09-06T15:15:00+02:00,2019-09-06T15:50:00+02:00,2112,Ordinateur,38386645,3620512,Français,48.860096294,2.3790349615
PW0119,2019-09-06T15:18:00+02:00,2019-09-06T15:23:00+02:00,312,Mobile,15992289,8975404,Français,48.8572732825,2.3512776121
PW0123-1,2019-09-06T15:21:00+02:00,2019-09-06T15:42:00+02:00,1268,Mobile,4421184,762897,Français,48.8570518501,2.3523517242
PW0182,2019-09-06T15:28:00+02:00,2019-09-06T15:40:00+02:00,716,Mobile,49454129,2219602,Français,48.8827940633,2.3827054256
PW0194,2019-09-06T15:30:00+02:00,2019-09-06T15:46:00+02:00,931,Mobile,8278523,15929171,Anglais,48.8801112154,2.3672066687
PW0149,2019-09-06T15:32:00+02:00,2019-09-06T15:34:00+02:00,109,Mobile,11850534,1341150,Anglais,48.8593733254,2.3358223561
PW0137,2019-09-06T15:34:00+02:00,2019-09-06T17:25:00+02:00,6704,Mobile,34359459,3883284,Anglais,48.8417075067,2.299350322
PW0143,2019-09-06T15:35:00+02:00,2019-09-06T16:23:00+02:00,2870,Ordinateur,191236023,14788940,Allemand,48.8618194855,2.3476439033
PW0176,2019-09-06T15:39:00+02:00,2019-09-06T16:07:00+02:00,1714,Mobile,66516550,6488859,Anglais,48.8765956695,2.3317982752
PW0122-1,2019-09-06T15:42:00+02:00,2019-09-06T16:24:00+02:00,2549,Mobile,24682696,1386318,Français,48.856389683,2.352388267
PW0096,2019-09-06T15:49:00+02:00,2019-09-06T16:00:00+02:00,687,Mobile,17868734,1560220,Français,48.8558714122,2.3824535358
PW0119,2019-09-06T15:50:00+02:00,2019-09-06T16:14:00+02:00,1460,Mobile,1797492,483466,Anglais,48.8572732825,2.3512776121
PW0199,2019-09-06T15:53:00+02:00,2019-09-06T15:53:00+02:00,30,Mobile,445722,69983,Anglais,48.8342318805,2.3321285183
PW0199,2019-09-06T16:04:00+02:00,2019-09-06T16:15:00+02:00,703,Mobile,31961559,24548992,Anglais,48.8342318805,2.3321285183
PW0055,2019-09-06T16:06:00+02:00,2019-09-06T16:06:00+02:00,0,Mobile,0,0,Français,48.8523121522,2.4105606442
PW0147,2019-09-06T16:06:00+02:00,2019-09-06T18:07:00+02:00,7246,Ordinateur,196831943,16623428,Français,48.8754298708,2.353666773
PW0123-1,2019-09-06T16:06:00+02:00,2019-09-06T16:50:00+02:00,2616,Mobile,99392435,35527086,Français,48.8570518501,2.3523517242
PW0196,2019-09-06T16:08:00+02:00,2019-09-06T16:11:00+02:00,133,Mobile,95274,228128,Allemand,48.8652873059,2.317839769
PW0009,2019-09-06T16:08:00+02:00,2019-09-06T18:08:00+02:00,7203,Mobile,83070638,8373817,Chinois simplifié,48.8901061541,2.3632099736
PW0048,2019-09-06T16:12:00+02:00,2019-09-06T18:12:00+02:00,7205,Ordinateur,23542607,93202241,Italien,48.870162555,2.3852198261
PW0119,2019-09-06T16:15:00+02:00,2019-09-06T16:17:00+02:00,97,Mobile,3569792,395184,Français,48.8572732825,2.3512776121
PW0054,2019-09-06T16:17:00+02:00,2019-09-06T18:17:00+02:00,7203,Ordinateur,184796112,319083560,Anglais,48.8337666097,2.3258559779
PW0143,2019-09-06T16:18:00+02:00,2019-09-06T16:59:00+02:00,2407,Mobile,21991160,11528898,Français,48.8618194855,2.3476439033
PW0112,2019-09-06T16:24:00+02:00,2019-09-06T18:24:00+02:00,7212,Mobile,223066031,24182249,Français,48.8614889106,2.3441541095
PW0110,2019-09-06T16:30:00+02:00,2019-09-06T16:32:00+02:00,102,Mobile,8638967,569832,Français,48.8614694222,2.346303724
PW0171,2019-09-06T16:35:00+02:00,2019-09-06T16:43:00+02:00,456,Mobile,3881297,705386,Français,48.8319158284,2.3776118893
PW0143,2019-09-06T16:36:00+02:00,2019-09-06T18:36:00+02:00,7202,Mobile,58905019,6025171,Français,48.8618194855,2.3476439033
PW0181,2019-09-06T16:48:00+02:00,2019-09-06T17:01:00+02:00,759,Mobile,2132171,479613,Russe,48.8566875709,2.3489230003
PW0062,2019-09-06T16:49:00+02:00,2019-09-06T16:58:00+02:00,563,Mobile,9020383,1559729,Français,48.827750994,2.3595956139
PW0182,2019-09-06T16:50:00+02:00,2019-09-06T16:58:00+02:00,492,Mobile,11282147,365438,Français,48.8827940633,2.3827054256
